paper_id,file_id,title,title_source,doi,doi_source,arxiv,arxiv_source,year,year_source,source,source_source,crossref_title,crossref_container,crossref_year,crossref_url,verification_status,curation_status,duplicate_of,supplement_to,notes
P0012,F0012,doi:10.1016/j.wavemoti.2005.05.005,pdf_metadata:title,10.1016/j.wavemoti.2005.05.005,pdf_page_1,,,2001,pdf_text_candidate,Wave Motion,crossref,Embedded Rayleigh–Bloch surface waves along periodic rectangular arrays,Wave Motion,2005,https://doi.org/10.1016/j.wavemoti.2005.05.005,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.20952380952380953
P0013,F0013,Experimental Observation of Optical Bound States in the Continuum,manual_pdf_quote_verified,10.1103/PhysRevLett.107.183901,manual_pdf_text_or_crossref,,,2011,manual_pdf_or_crossref_verified,Physical Review Letters,manual_pdf_or_crossref_verified,Experimental Observation of Optical Bound States in the Continuum,Physical Review Letters,2011,https://doi.org/10.1103/physrevlett.107.183901,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
P0014,F0014,Temporal coupled-mode theory for the Fano,pdf_page_1_text_candidate,,,,,2002,pdf_text_candidate,,,,,,,local_pdf_indexed,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=None
P0015,F0015,Lasing action in active dielectric nanoantenna,pdf_page_1_text_candidate,,,,,,,,,,,,,local_pdf_indexed,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=None
P0016,F0016,Lecture 2: 2D Fourier transforms and applications,pdf_page_1_text_candidate,,,,,2014,pdf_text_candidate,,,,,,,local_pdf_indexed,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=None
P0017,F0017,Light guiding above the light line in arrays,pdf_page_1_text_candidate,10.1364/OL.41.003888,pdf_page_1,1603.02815,pdf_page_4,2016,pdf_text_candidate,Optics Letters,crossref,Light guiding above the light line in arrays of dielectric nanospheres,Optics Letters,2016,https://doi.org/10.1364/ol.41.003888,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.7719298245614035
P0018,F0018,"PHYSICAL REVIEW A 92, 023816 (2015)",pdf_page_1_text_candidate,10.1103/PhysRevA.92.023816,pdf_page_1,,,2015,pdf_text_candidate,Physical Review A,crossref,Light trapping above the light cone in a one-dimensional array of dielectric spheres,Physical Review A,2015,https://doi.org/10.1103/physreva.92.023816,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.15517241379310345
P0019,F0019,Directional lasing in resonant semiconductor nanoantenna arrays,pdf_metadata:title,10.1038/s41565-018-0245-5,pdf_page_1,,,2018,pdf_text_candidate,Nature Nanotechnology,crossref,Directional lasing in resonant semiconductor nanoantenna arrays,Nature Nanotechnology,2018,https://doi.org/10.1038/s41565-018-0245-5,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0020,F0020,Anisotropy-induced photonic bound states in the continuum,pdf_metadata:title,10.1038/NPHOTON.2017.31,pdf_page_1,,,2017,pdf_text_candidate,Nature Photonics,crossref,Anisotropy-induced photonic bound states in the continuum,Nature Photonics,2017,https://doi.org/10.1038/nphoton.2017.31,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0021,F0021,W W W. N A T U R E . C O M / N A T U R E | 1,pdf_page_1_text_candidate,10.1038/nature12289,pdf_page_1,,,1984,pdf_text_candidate,Nature,crossref,Observation of trapped light within the radiation continuum,Nature,2013,https://doi.org/10.1038/nature12289,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.22916666666666666
P0022,F0022,Lasing action from photonic bound states in continuum,pdf_metadata:title,10.1038/nature20799,pdf_page_1,,,1977,pdf_text_candidate,Nature,crossref,Lasing action from photonic bound states in continuum,Nature,2017,https://doi.org/10.1038/nature20799,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0023,F0023,Lasing action from photonic bound states in continuum,manual_pdf_quote_verified,10.1038/nature20799,manual_pdf_text_or_crossref,,,2017,manual_pdf_or_crossref_verified,Nature,manual_pdf_or_crossref_verified,Lasing action from photonic bound states in continuum,Nature,2017,https://doi.org/10.1038/nature20799,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
P0024,F0024,Realizing symmetry-guaranteed pairs of bound states in the continuum in metasurfaces,manual_pdf_quote_verified,10.1038/s41467-022-35246-w,manual_pdf_text_or_crossref,,,2022,manual_pdf_or_crossref_verified,Nature Communications,manual_pdf_or_crossref_verified,Realizing symmetry-guaranteed pairs of bound states in the continuum in metasurfaces,Nature Communications,2022,https://doi.org/10.1038/s41467-022-35246-w,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
P0025,F0025,Near-bound states in the radiation continuum in circular array of dielectric rods,pdf_page_1_text_candidate,,,1711.05965,pdf_page_1,2017,pdf_text_candidate,,,,,,,local_pdf_indexed,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=None
P0026,F0026,Observation and Differentiation of Unique High-Q Optical Resonances,pdf_page_1_text_candidate,10.1103/PhysRevLett.109.067401,pdf_page_1,,,2012,pdf_text_candidate,Physical Review Letters,crossref,"Observation and Differentiation of Unique High-<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>Q</mml:mi></mml:math>Optical Resonances Near Zero Wave Vector in Macroscopic Photonic Crystal Slabs",Physical Review Letters,2012,https://doi.org/10.1103/physrevlett.109.067401,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.34507042253521125
P0027,F0027,Observation of Localized States in Lieb Photonic Lattices,pdf_page_1_text_candidate,10.1103/PhysRevLett.114.245503,pdf_page_1,1412.6342,pdf_page_5,2014,pdf_text_candidate,Physical Review Letters,crossref,Observation of Localized States in Lieb Photonic Lattices,Physical Review Letters,2015,https://doi.org/10.1103/physrevlett.114.245503,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0028,F0028,Analytical Perspective for Bound States in the Continuum in Photonic Crystal Slabs,manual_pdf_quote_verified,10.1103/PhysRevLett.113.037401,manual_pdf_text_or_crossref,,,2014,manual_pdf_or_crossref_verified,Physical Review Letters,manual_pdf_or_crossref_verified,Analytical Perspective for Bound States in the Continuum in Photonic Crystal Slabs,Physical Review Letters,2014,https://doi.org/10.1103/physrevlett.113.037401,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
P0029,F0029,"PHYSICAL REVIEW B 86, 035108 (2012)",pdf_page_1_text_candidate,10.1103/PhysRevB.86.035108,pdf_page_1,,,2011,pdf_text_candidate,Physical Review B,crossref,Three-dimensional coupled-wave theory analysis of a centered-rectangular lattice photonic crystal laser with a transverse-electric-like mode,Physical Review B,2012,https://doi.org/10.1103/physrevb.86.035108,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.16279069767441862
P0030,F0030,Topological Nature of Optical Bound States in the Continuum,manual_pdf_quote_verified,10.1103/PhysRevLett.113.257401,manual_pdf_text_or_crossref,,,2014,manual_pdf_or_crossref_verified,Physical Review Letters,manual_pdf_or_crossref_verified,Topological Nature of Optical Bound States in the Continuum,Physical Review Letters,2014,https://doi.org/10.1103/physrevlett.113.257401,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
P0031,F0031,Quasi Bound States in the Continuum with Few Unit Cells of Photonic Crystal Slab,manual_pdf_quote_verified,,,1705.09842,manual_pdf_text_or_filename,2017,manual_pdf_or_crossref_verified,arXiv preprint / Optica template needs verification,manual_pdf_or_crossref_verified,,,,,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
P0032,F0032,Subscriber access provided by UB + Fachbibliothek Chemie | (FU-Bibliothekssystem),pdf_page_1_text_candidate,,,,,2017,pdf_text_candidate,,,,,,,local_pdf_indexed,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=None
P0033,F0033,Resonant transmission near nonrobust periodic slab modes,pdf_page_1_text_candidate,10.1103/PhysRevE.71.026611,pdf_page_1,,,2003,pdf_text_candidate,Physical Review E,crossref,Resonant transmission near nonrobust periodic slab modes,Physical Review E,2005,https://doi.org/10.1103/physreve.71.026611,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0034,F0034,Spectroscopy and Biosensing with Optically Resonant Dielectric,pdf_page_1_text_candidate,,,,,,,,,,,,,local_pdf_indexed,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=None
P0035,F0035,Twisted moire photonic crystal enabled optical vortex generation through bound states in the continuum,manual_pdf_quote_verified,10.1038/s41467-023-41068-1,manual_pdf_text_or_crossref,,,2023,manual_pdf_or_crossref_verified,Nature Communications,manual_pdf_or_crossref_verified,Twisted moiré photonic crystal enabled optical vortex generation through bound states in the continuum,Nature Communications,2023,https://doi.org/10.1038/s41467-023-41068-1,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
P0036,F0036,Supplementary Materials for,pdf_page_1_text_candidate,10.1126/science.aap9859,pdf_page_1,,,2018,pdf_text_candidate,Science,crossref,Observation of bulk Fermi arc and polarization half charge from paired exceptional points,Science,2018,https://doi.org/10.1126/science.aap9859,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.13793103448275862
P0037,F0037,968 972..975,pdf_metadata:title,10.1126/science.1256904,pdf_page_1,,,1998,pdf_text_candidate,Science,crossref,Characterization of a DNA exit gate in the human cohesin ring,Science,2014,https://doi.org/10.1126/science.1256904,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.05555555555555555
P0038,F0038,Observation of bulk Fermi arc and polarization half charge from paired exceptional points,pdf_metadata:title,10.1126/science.aap9859,pdf_page_4,1706.07435,pdf_page_4,2018,pdf_text_candidate,Science,crossref,Observation of bulk Fermi arc and polarization half charge from paired exceptional points,Science,2018,https://doi.org/10.1126/science.aap9859,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0039,F0039,Supplementary Materials for,pdf_page_1_text_candidate,10.1126/science.aba4597,pdf_page_1,,,2020,pdf_text_candidate,Science,crossref,Ultrafast control of vortex microlasers,Science,2020,https://doi.org/10.1126/science.aba4597,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.30303030303030304
P0040,F0040,Supplementary Materials for,pdf_page_1_text_candidate,10.1126/science.abq7870,pdf_page_1,,,2022,pdf_text_candidate,Science,crossref,Chiral emission from resonant metasurfaces,Science,2022,https://doi.org/10.1126/science.abq7870,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.11594202898550725
P0041,F0041,Semi-analytical approach for guided,pdf_page_1_text_candidate,10.1364/OE.21.020588,pdf_page_1,,,1997,pdf_text_candidate,Optics Express,crossref,Semi-analytical approach for guided mode resonance in high-index-contrast photonic crystal slab: TE polarization,Optics Express,2013,https://doi.org/10.1364/oe.21.020588,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.4794520547945205
P0042,F0042,Formation mechanism of guided resonances and bound states in the continuum in photonic crystal slabs,manual_pdf_quote_verified,10.1038/srep31908,manual_pdf_text_or_crossref,,,2016,manual_pdf_or_crossref_verified,Scientific Reports,manual_pdf_or_crossref_verified,Formation mechanism of guided resonances and bound states in the continuum in photonic crystal slabs,Scientific Reports,2016,https://doi.org/10.1038/srep31908,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
P0043,F0043,Normal incidence filters using symmetry-protected modes in dielectric subwavelength gratings,pdf_metadata:title,10.1038/srep36066,pdf_page_1,,,2016,pdf_text_candidate,Scientific Reports,crossref,Normal incidence filters using symmetry-protected modes in dielectric subwavelength gratings,Scientific Reports,2016,https://doi.org/10.1038/srep36066,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0044,F0044,Subwavelength Topological Edge States in Optically Resonant Dielectric Structures,pdf_page_1_text_candidate,10.1103/PhysRevLett.114.123901,pdf_page_1,6029.2014,pdf_page_5,2014,pdf_text_candidate,Physical Review Letters,crossref,Subwavelength Topological Edge States in Optically Resonant Dielectric Structures,Physical Review Letters,2015,https://doi.org/10.1103/physrevlett.114.123901,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0045,F0045,Topologically enabled ultrahigh-Q guided,pdf_page_1_text_candidate,10.1038/s41586-019-1664-7,pdf_page_1,,,,,Nature,crossref,Topologically enabled ultrahigh-Q guided resonances robust to out-of-plane scattering,Nature,2019,https://doi.org/10.1038/s41586-019-1664-7,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.64
P0046,F0046,Optical-field calculations for lossy multiple-layer AlxGa1−xN/InxGa1−xN,pdf_page_1_text_candidate,10.1063/1.368185,pdf_page_1,,,1998,pdf_text_candidate,Journal of Applied Physics,crossref,Optical-field calculations for lossy multiple-layer AlxGa1−xN/InxGa1−xN laser diodes,Journal of Applied Physics,1998,https://doi.org/10.1063/1.368185,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.9161290322580645
P0047,F0047,Topological Subspace-Induced Bound State in the Continuum,pdf_page_1_text_candidate,10.1103/PhysRevLett.118.166803,pdf_page_1,,,2016,pdf_text_candidate,Physical Review Letters,crossref,Topological Subspace-Induced Bound State in the Continuum,Physical Review Letters,2017,https://doi.org/10.1103/physrevlett.118.166803,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0048,F0048,Index formulae for singular lines of polarization,pdf_page_1_text_candidate,10.1088/1464-4258/6/7/003,pdf_page_2,,,2004,pdf_text_candidate,Journal of Optics A: Pure and Applied Optics,crossref,Index formulae for singular lines of polarization,Journal of Optics A: Pure and Applied Optics,2004,https://doi.org/10.1088/1464-4258/6/7/003,doi_crossref_resolved_title_match,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=1.0
P0049,F0049,Normal incidence narrowband transmission,pdf_page_1_text_candidate,10.1364/OL.40.002637,pdf_page_1,,,2015,pdf_text_candidate,Optics Letters,crossref,"Normal incidence narrowband transmission filtering capabilities using symmetry-protected modes of a subwavelength, dielectric grating",Optics Letters,2015,https://doi.org/10.1364/ol.40.002637,doi_crossref_resolved_title_mismatch_needs_review,machine_extracted_needs_review,,,Only source-file facts are direct facts. DOI/Crossref metadata requires title-match review. title_match_score=0.46511627906976744
P0050,F0050,Light enhancement by quasi-bound states in the continuum in dielectric arrays,manual_pdf_quote_verified,10.1364/OE.25.014134,manual_pdf_text_or_crossref,,,2017,manual_pdf_or_crossref_verified,Optics Express,manual_pdf_or_crossref_verified,Light enhancement by quasi-bound states in the continuum in dielectric arrays,Optics Express,2017,https://doi.org/10.1364/oe.25.014134,manual_pdf_verified_core,bibliography_verified_no_numeric_data,,,Core bibliography fact promoted only after local PDF quote/id check. No device/resonance numeric facts inferred.
