evidence_id,paper_id,file_id,source_kind,source_url,page_start,page_end,figure,panel,table_no,equation_no,quote_sha256,extraction_method,evidence_level,confidence,verification_status,created_at,notes
E0003-YEAR,P0003,F0003,pdf_metadata_or_page_text,,1,1,,,,,d4961e1b56835b40c8d4befe5094c6e0da480d72ea9faa91ba0740317edfcfe2,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:38+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0004-TEXT,P0004,F0004,pdf_text_cache,,1,1,,,,,3c13264583083ec19c7f298b623824331dc84ad64dc6c48c20a859d50032c654,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:39+00:00,Automatic text cache for search and later human review.
E0004-DOI,P0004,F0004,pdf_text_identifier,,1,1,,,,,e58122fce4cf04b88d38e033fb37cb92e4813543318075a9334acff47d198ea4,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:39+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0004-ARXIV,P0004,F0004,pdf_text_identifier,,5,5,,,,,c56c41c48ba78a9496c1a72d7f11c1aab791933d8540aaaae4b3d1d11d1c03d8,regex_arxiv_from_pdf_text,E1,0.75,identifier_extracted_needs_review,2026-05-16T10:43:39+00:00,arXiv identifier string found in local PDF text.
E0004-TITLE,P0004,F0004,pdf_metadata_or_page_text,,,,,,,,a5bd63b3d931a5dc0c0a2f74cdbd4db92f55cbb5c8d04780d0d0eada062dbc69,pdf_metadata:title,E1,0.7,title_candidate_needs_review,2026-05-16T10:43:39+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0004-YEAR,P0004,F0004,pdf_metadata_or_page_text,,1,1,,,,,b991389452573c65e83b78432bdb4a69f6e12fa8991f71655e5e759898c3f5a1,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:39+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0005-TEXT,P0005,F0005,pdf_text_cache,,1,1,,,,,c85df7a11f687f00c24179a455ed03a38d0e29c5f3e518fed469649b9b441368,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:40+00:00,Automatic text cache for search and later human review.
E0005-DOI,P0005,F0005,pdf_text_identifier,,1,1,,,,,1d78ce53568b28b59ba6b35380bb39b1896ad6fed195003938f15249eff84dd3,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:40+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0005-TITLE,P0005,F0005,pdf_metadata_or_page_text,,1,1,,,,,2bcfaaa43efde9dca923cb0b92aaccbd6d634f86fcb775e9eb1c9509eb004660,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:40+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0005-YEAR,P0005,F0005,pdf_metadata_or_page_text,,1,1,,,,,61fc30a7599361671e9796b68d1d20ae7810b2489e22a52cf6bd4fbf3ee771b2,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:40+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0006-TEXT,P0006,F0006,pdf_text_cache,,1,1,,,,,9af33a0652068b41423da7916f07d13dcc975b6362269234a7d14348b40a3268,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:42+00:00,Automatic text cache for search and later human review.
E0006-DOI,P0006,F0006,pdf_text_identifier,,1,1,,,,,7c64216874b34def0e83cf873f62a6a78cfccb88322f266cf7d16c5eb6c125cf,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:42+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0006-ARXIV,P0006,F0006,pdf_text_identifier,,1,1,,,,,c541bd567868ba5f4865054c0f377767d9129cc8fe26715c88c37b3253d81061,regex_arxiv_from_pdf_text,E1,0.75,identifier_extracted_needs_review,2026-05-16T10:43:42+00:00,arXiv identifier string found in local PDF text.
E0006-TITLE,P0006,F0006,pdf_metadata_or_page_text,,1,1,,,,,b607af6104b89fb62b5018f87fdcce1b5f446f7ce60776f3769477890fe75aa6,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:42+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0006-YEAR,P0006,F0006,pdf_metadata_or_page_text,,1,1,,,,,22f4331226a227ec3c24bca7c948ff536b78238eb9bd6f73495779ff3fc7453b,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:42+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0007-TEXT,P0007,F0007,pdf_text_cache,,1,1,,,,,aff31dfae7e7382e0f7dcfbe85e979ddc74d9ae2add8222a2c6b92bbc25f01db,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:43+00:00,Automatic text cache for search and later human review.
E0007-DOI,P0007,F0007,pdf_text_identifier,,1,1,,,,,ed43d2ddcae90eb92f6ab1bfd016744a6315c20e440695eb6b6809b32d349c4e,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:43+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0007-TITLE,P0007,F0007,pdf_metadata_or_page_text,,,,,,,,21a3de0ca49eccc16afdd6daeaf4a1f889464645e2ca618f3180dc9ac5630ca3,pdf_metadata:title,E1,0.7,title_candidate_needs_review,2026-05-16T10:43:43+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0007-YEAR,P0007,F0007,pdf_metadata_or_page_text,,1,1,,,,,3c782caefee3d642eca5cb31531ced20e5a9da051cd88523e3cc1f46cb5380a7,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:43+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0008-TEXT,P0008,F0008,pdf_text_cache,,1,1,,,,,98781826b8c98602c6b4ce6ad0def09a85771d40f67feb04635ad6e76eeb1873,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:44+00:00,Automatic text cache for search and later human review.
E0008-DOI,P0008,F0008,pdf_text_identifier,,2,2,,,,,871177cd32ee543fb642500bd0cdaede8ffbfc8dbb2adcf80172fb90ca44b255,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:44+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0008-TITLE,P0008,F0008,pdf_metadata_or_page_text,,,,,,,,ab7862d9a0ec59e69af62360bef6ef4566b785862d4d726e98385333d5783612,pdf_metadata:title,E1,0.7,title_candidate_needs_review,2026-05-16T10:43:44+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0008-YEAR,P0008,F0008,pdf_metadata_or_page_text,,1,1,,,,,45cae1d9578897fdfaf011b924cdc338045073ab5ffbba3b6c27e916895360ae,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:44+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0009-TEXT,P0009,F0009,pdf_text_cache,,1,1,,,,,5c2e851d48931e7e9b00fc1948a99f3411c9b3f27741283d4b49dbdb00ef9b7d,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:45+00:00,Automatic text cache for search and later human review.
E0009-DOI,P0009,F0009,pdf_text_identifier,,1,1,,,,,d4f36ac3e2260320a94866f925a4289b9ac1ea4886805352f3da9f92abbf9ea0,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:45+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0009-TITLE,P0009,F0009,pdf_metadata_or_page_text,,1,1,,,,,6789f38b988ea8b35f9b686372bad8758fd09fe939023c31e5bfd244eabdf286,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:45+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0009-YEAR,P0009,F0009,pdf_metadata_or_page_text,,1,1,,,,,28b58dc42bf2d22cc810fc95eacf91b777b50f24fa9694d7daf6eddcfbdd8a4e,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:45+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0010-TEXT,P0010,F0010,pdf_text_cache,,1,1,,,,,6e7c16b1da8fefa85d7e6e9027af4ae15ab72b10375b8c20dc50cd515ffaf714,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:46+00:00,Automatic text cache for search and later human review.
E0010-DOI,P0010,F0010,pdf_text_identifier,,1,1,,,,,a74c1a23d9b969a122500a4cf37d3dd72730deaa329a5cee33e6c2bd4ca8963f,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:46+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0010-TITLE,P0010,F0010,pdf_metadata_or_page_text,,1,1,,,,,e0c7050413cace28268dd84e76e6178751cbc8309df798aeee89918c2bcca3e9,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:46+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0010-YEAR,P0010,F0010,pdf_metadata_or_page_text,,1,1,,,,,861b9ac5541b06f1cc7e3244a83fe3aa286027bfb6932e35382ddd3cf2a834f6,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:46+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0011-TEXT,P0011,F0011,pdf_text_cache,,1,1,,,,,bd0db6e4ef599dbc15b24a00c8afe5c968b4a82bbb3aa572725596d01330d553,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:47+00:00,Automatic text cache for search and later human review.
E0011-DOI,P0011,F0011,pdf_text_identifier,,1,1,,,,,c3847ec32a749ec81920b37f5d2b9269df3e55f08f004f5e5288291daa472b90,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:47+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0011-TITLE,P0011,F0011,pdf_metadata_or_page_text,,1,1,,,,,13e55aa71e4f1a2fc1ef87b1e5a2f8ee3794c34d7a72c1c37a2e714616afbea9,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:47+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0011-YEAR,P0011,F0011,pdf_metadata_or_page_text,,1,1,,,,,e36d6a8afedf3eccb1027871283d7276b746e12e2fdf494434af1eb7653a57c5,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:47+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0012-TEXT,P0012,F0012,pdf_text_cache,,1,1,,,,,d9da38982e775955de1e0af9e88e17ad36d31236d9eeeeaca06f7d5c50d1b076,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:48+00:00,Automatic text cache for search and later human review.
E0012-DOI,P0012,F0012,pdf_text_identifier,,1,1,,,,,ea0340d36c749bb0e48f67a8c8a532908a27725e13b45438c9ede4e6deb25ba0,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:48+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0012-TITLE,P0012,F0012,pdf_metadata_or_page_text,,,,,,,,03e6690533b358f2cc18b7bd0532a559b60ff3f263ae15cd250a209453c95bad,pdf_metadata:title,E1,0.7,title_candidate_needs_review,2026-05-16T10:43:48+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0012-YEAR,P0012,F0012,pdf_metadata_or_page_text,,1,1,,,,,2c8ae13c471b109873409f348d1eed17a46c9200399b563bc5eb74c012d47e93,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:48+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0013-TEXT,P0013,F0013,pdf_text_cache,,1,1,,,,,e40c4bc63aa279cbfa9ce28958e2c495503ae456b27cdddcd98accf3a72c443b,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:49+00:00,Automatic text cache for search and later human review.
E0013-DOI,P0013,F0013,pdf_text_identifier,,1,1,,,,,6a6af6907b2f877ede7d73d5fcca82e2b0e064596e9e2a8e5cb3a05bf14acece,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:49+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0013-TITLE,P0013,F0013,pdf_metadata_or_page_text,,1,1,,,,,33ebcbc4896b1037f971cbf68fb9056744f3999162ee66bb4af46406d022ad99,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:49+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0013-YEAR,P0013,F0013,pdf_metadata_or_page_text,,1,1,,,,,5bb193b2980f7f5a255b9928691b53c405ccedf57d4ccd40c821af51ec5b3faf,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:49+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0014-TEXT,P0014,F0014,pdf_text_cache,,1,1,,,,,dc53c89a8c2ba918c00a39b87129dfc1e4b5acb692e5cd87836f06733a8e2a5e,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:49+00:00,Automatic text cache for search and later human review.
E0014-TITLE,P0014,F0014,pdf_metadata_or_page_text,,1,1,,,,,29786dbcb469c673d3abed31addb0494cf2b4854809251f1a3ceae208d3c698c,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:49+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0014-YEAR,P0014,F0014,pdf_metadata_or_page_text,,1,1,,,,,9500efa752cb3887a1becfc84d6997b6aad4b5f6fcf5aeea39e003e276667ee3,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:49+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0015-TEXT,P0015,F0015,pdf_text_cache,,1,1,,,,,abd0f33a4567d5015e1613a933a0e7b6f190c6eb963c1514606695562435ac4f,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:49+00:00,Automatic text cache for search and later human review.
E0015-TITLE,P0015,F0015,pdf_metadata_or_page_text,,1,1,,,,,dbde30c24387ec21828cf3dbfc362a924a6d9bf5be787e207c4d79bf51b544af,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:49+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0016-TEXT,P0016,F0016,pdf_text_cache,,1,1,,,,,1e5a30fb306a622ca77d6c3fa46a286e3c5b9f12ba8de68bb4fe99338eeb4f14,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:49+00:00,Automatic text cache for search and later human review.
E0016-TITLE,P0016,F0016,pdf_metadata_or_page_text,,1,1,,,,,5007dd7f96f3a99c219b365f04e48da0538220eb43b889d995fedf7a7dc26125,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:49+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0016-YEAR,P0016,F0016,pdf_metadata_or_page_text,,1,1,,,,,27ab357e80bc5d7a6cf9bffc6448a33fd5b007e64cd7c547133c1014e43f55d9,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:49+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0017-TEXT,P0017,F0017,pdf_text_cache,,1,1,,,,,de6dbf39faa6a6620aaf7b209072e5fb7384ff3c6594e65fda727875c007ff6d,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:50+00:00,Automatic text cache for search and later human review.
E0017-DOI,P0017,F0017,pdf_text_identifier,,1,1,,,,,02e860289374ba7ba102771df4d9e4e5158bd34e31905defeb66095148140acd,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:50+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0017-ARXIV,P0017,F0017,pdf_text_identifier,,4,4,,,,,3a8a8c2a2cba161d438c5080ede26634f0acfc3823b75278f8860b3f557a4e4a,regex_arxiv_from_pdf_text,E1,0.75,identifier_extracted_needs_review,2026-05-16T10:43:50+00:00,arXiv identifier string found in local PDF text.
E0017-TITLE,P0017,F0017,pdf_metadata_or_page_text,,1,1,,,,,cea0cba8fc0a872f0e3f0684bca5ee392f664c5614d870b7be5beb58e1ae2924,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:50+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0017-YEAR,P0017,F0017,pdf_metadata_or_page_text,,1,1,,,,,4d889317c4a1a94530d6737aff90653688ae3320bc487a5c2a56dc8277e4e649,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:50+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0018-TEXT,P0018,F0018,pdf_text_cache,,1,1,,,,,f4dafb7563e19dcca011f4ff358cfbdae98327f26e1af271afb202785d07bba7,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:51+00:00,Automatic text cache for search and later human review.
E0018-DOI,P0018,F0018,pdf_text_identifier,,1,1,,,,,adadd319b943d6ea20e760caaebfccab0dbf70e8addbd562c892c0433de8c2e9,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:51+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0018-TITLE,P0018,F0018,pdf_metadata_or_page_text,,1,1,,,,,b35b66854fdec14b564c6b170f4b868541d39b3a2b93e21e1e0c80bb350862dd,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:51+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0018-YEAR,P0018,F0018,pdf_metadata_or_page_text,,1,1,,,,,3fabf6791cc7d41b00b5a60e3b4c0fb0f7c72885d371b378459ecd6bbebb5eac,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:51+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0019-TEXT,P0019,F0019,pdf_text_cache,,1,1,,,,,837d9fb2d261e142b5c9e0682169e1c5419964fdb286e02a7392483cab5101cd,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:52+00:00,Automatic text cache for search and later human review.
E0019-DOI,P0019,F0019,pdf_text_identifier,,1,1,,,,,bdc41ca17d71ce9408eecb1b299a6ff92d593f99a9cbbcd86886dfdcb28ae59d,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:52+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0019-TITLE,P0019,F0019,pdf_metadata_or_page_text,,,,,,,,ff62abbfc112e2ddf28e52cab09879a77cfa1d3e3341fc60026357a051d4c278,pdf_metadata:title,E1,0.7,title_candidate_needs_review,2026-05-16T10:43:52+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0019-YEAR,P0019,F0019,pdf_metadata_or_page_text,,4,4,,,,,25cd84bc6279ddb3bf411eef702c33483ae42e28bea73debeffda6869a52f461,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:52+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0020-TEXT,P0020,F0020,pdf_text_cache,,1,1,,,,,9d4fd8d01fd72b151e56e9e6e1059ff09a9ffed658bb815239419889572d35d4,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:54+00:00,Automatic text cache for search and later human review.
E0020-DOI,P0020,F0020,pdf_text_identifier,,1,1,,,,,05675f146e54289997defac11117da014fe42b8c934cb85a5f1e34b621d73173,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:54+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0020-TITLE,P0020,F0020,pdf_metadata_or_page_text,,,,,,,,e979f007be42544d1f457818ca1f49fab6a84277b2a2e7b9387ac7c2208f91d9,pdf_metadata:title,E1,0.7,title_candidate_needs_review,2026-05-16T10:43:54+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0020-YEAR,P0020,F0020,pdf_metadata_or_page_text,,3,3,,,,,619829bb89968427ec677d5c795b73c16f65f435ebfd3b7b9c30e7c6a8166c40,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:54+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0021-TEXT,P0021,F0021,pdf_text_cache,,1,1,,,,,50ec89321c7804e6031fba8462c179acdc249c7295957b696f8daeb61fc0f94d,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:55+00:00,Automatic text cache for search and later human review.
E0021-DOI,P0021,F0021,pdf_text_identifier,,1,1,,,,,b05cb1832ad20b535a413f54089c59fa92e82a7e0b8eeb5a1e7c2e50cc37d703,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:55+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0021-TITLE,P0021,F0021,pdf_metadata_or_page_text,,1,1,,,,,c3823a645206fa83d58a12d191d7f52efb3f706615be7f23a35b9f177ce2a42b,pdf_page_1_text_candidate,E0,0.55,title_candidate_needs_review,2026-05-16T10:43:55+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0021-YEAR,P0021,F0021,pdf_metadata_or_page_text,,3,3,,,,,1fa0913c903b52838f3fc55966c81e4ab9baca6cb8fe7671c91ebd1d9eb2cd66,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:55+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0022-TEXT,P0022,F0022,pdf_text_cache,,1,1,,,,,7c3bb9bdff228ad4c04146ce447cdcd98ba9bb6066df080fd6e86c30754faf7e,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:56+00:00,Automatic text cache for search and later human review.
E0022-DOI,P0022,F0022,pdf_text_identifier,,1,1,,,,,581216ca426d901e0336b9c994997c7ab7e294e9f7165bfb691fdbf8e2981b5f,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:56+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
E0022-TITLE,P0022,F0022,pdf_metadata_or_page_text,,,,,,,,c9e299d14f2b10b0b619f8b2e7884fc958e76516a6c32287ce0277d833e43c8c,pdf_metadata:title,E1,0.7,title_candidate_needs_review,2026-05-16T10:43:56+00:00,Title candidate; verify against title page or Crossref before using in final bibliography.
E0022-YEAR,P0022,F0022,pdf_metadata_or_page_text,,1,1,,,,,f83ead852219da5bbcd8d3316a05813ca48e2890a437df68a07dda986a927a72,pdf_text_candidate,E0,0.45,year_candidate_needs_review,2026-05-16T10:43:56+00:00,Year candidate from metadata/text; prefer Crossref year when DOI resolves.
E0023-TEXT,P0023,F0023,pdf_text_cache,,1,1,,,,,7c3bb9bdff228ad4c04146ce447cdcd98ba9bb6066df080fd6e86c30754faf7e,pymupdf_first_pages,E0,0.6,source_extracted_needs_review,2026-05-16T10:43:57+00:00,Automatic text cache for search and later human review.
E0023-DOI,P0023,F0023,pdf_text_identifier,,1,1,,,,,581216ca426d901e0336b9c994997c7ab7e294e9f7165bfb691fdbf8e2981b5f,regex_doi_from_pdf_text,E1,0.8,identifier_extracted_needs_review,2026-05-16T10:43:57+00:00,Identifier string found in local PDF text; Crossref resolution stored separately when available.
