observation_id,paper_id,external_id,file_id,observation_group,observation_type,quantity_name,value_text,value_numeric,unit,material,structure_name,wavelength_nm,frequency_thz,q_factor,fano_q,source_kind,source_url,page,figure,panel,table_no,evidence_id,extraction_method,verification_status,curation_status,confidence,notes
OBS-P0001-material-2-4c375934863d814a,P0001,,F0001,material,material,material,silicon,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0001-material-2-4c375934863d814a,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-polarization-2-83b2ac2beb29938a,P0001,,F0001,polarization,polarization,polarization/topology,chiral,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0001-polarization-2-83b2ac2beb29938a,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-polarization-2-a3e9ada8e810a86f,P0001,,F0001,polarization,polarization,polarization/topology,chiral,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0001-polarization-2-a3e9ada8e810a86f,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-q_factor-3-9381349fc354a950,P0001,,F0001,resonance,q_factor,Q factor,104,104.0,,,,,,104.0,,local_pdf_text,,3,,,,E-OBS-P0001-q_factor-3-9381349fc354a950,regex:q_factor,candidate_needs_review,review_queue,0.62,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-material-3-9c1694fe4da1cf24,P0001,,F0001,material,material,material,sin,,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0001-material-3-9c1694fe4da1cf24,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-q_factor-5-8557abed18930c81,P0001,,F0001,resonance,q_factor,Q factor,4000,4000.0,,,,,,4000.0,,local_pdf_text,,5,,,,E-OBS-P0001-q_factor-5-8557abed18930c81,regex:q_factor,candidate_needs_review,review_queue,0.62,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-q_factor-5-447694f916c53c1d,P0001,,F0001,resonance,q_factor,Q factor,800,800.0,,,,,,800.0,,local_pdf_text,,5,,,,E-OBS-P0001-q_factor-5-447694f916c53c1d,regex:q_factor,candidate_needs_review,review_queue,0.62,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-frequency-5-eacb43e065f6b7ae,P0001,,F0001,resonance,frequency,resonance frequency,396.650,396.65,THz,,,,,,,local_pdf_text,,5,,,,E-OBS-P0001-frequency-5-eacb43e065f6b7ae,regex:frequency,candidate_needs_review,review_queue,0.58,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-thickness-5-25301d3b0289f749,P0001,,F0001,structure,thickness,thickness/height,200,200.0,nm,,,200.0,,,,local_pdf_text,,5,,,,E-OBS-P0001-thickness-5-25301d3b0289f749,regex:thickness,candidate_needs_review,review_queue,0.58,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-diameter-5-d29bbe716d55e3c3,P0001,,F0001,structure,diameter,diameter,2.95,2.95,μm,,,2950.0,,,,local_pdf_text,,5,,,,E-OBS-P0001-diameter-5-d29bbe716d55e3c3,regex:diameter,candidate_needs_review,review_queue,0.45,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-spectrum-7-61a8b41c082eb3e3,P0001,,F0001,spectrum,spectrum,spectrum,transmission spectrum,,,,,,,,,local_pdf_text,,7,,,,E-OBS-P0001-spectrum-7-61a8b41c082eb3e3,regex:spectrum,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0001-polarization-7-8eb3a36af89de465,P0001,,F0001,polarization,polarization,polarization/topology,chiral,,,,,,,,,local_pdf_text,,7,,,,E-OBS-P0001-polarization-7-8eb3a36af89de465,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-k_space-1-0ac25304e76837e5,P0002,,F0002,kspace,k_space,k-space / momentum-space,momentum-space,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-k_space-1-0ac25304e76837e5,regex:k_space,candidate_needs_review,review_queue,0.5,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-k_space-1-2fb0f7a07efe2ff9,P0002,,F0002,kspace,k_space,k-space / momentum-space,momentum space,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-k_space-1-2fb0f7a07efe2ff9,regex:k_space,candidate_needs_review,review_queue,0.5,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-k_space-1-f45f5328a2c5c9b4,P0002,,F0002,kspace,k_space,k-space / momentum-space,momentum space,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-k_space-1-f45f5328a2c5c9b4,regex:k_space,candidate_needs_review,review_queue,0.5,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-k_space-1-96288b10ba141e8e,P0002,,F0002,kspace,k_space,k-space / momentum-space,momentum space,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-k_space-1-96288b10ba141e8e,regex:k_space,candidate_needs_review,review_queue,0.5,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-k_space-1-0f9b401e2e94d26f,P0002,,F0002,kspace,k_space,k-space / momentum-space,momentum space,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-k_space-1-0f9b401e2e94d26f,regex:k_space,candidate_needs_review,review_queue,0.5,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-k_space-1-d9e62840fdad865c,P0002,,F0002,kspace,k_space,k-space / momentum-space,momentum space,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-k_space-1-d9e62840fdad865c,regex:k_space,candidate_needs_review,review_queue,0.5,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-k_space-1-b545569844b3f294,P0002,,F0002,kspace,k_space,k-space / momentum-space,momentum space,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-k_space-1-b545569844b3f294,regex:k_space,candidate_needs_review,review_queue,0.5,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-k_space-1-0d6e0bebb46c980b,P0002,,F0002,kspace,k_space,k-space / momentum-space,momentum-space,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-k_space-1-0d6e0bebb46c980b,regex:k_space,candidate_needs_review,review_queue,0.5,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-polarization-1-7d687d6e43340a59,P0002,,F0002,polarization,polarization,polarization/topology,optical vortex,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-polarization-1-7d687d6e43340a59,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-polarization-1-cc728b524f54d7e9,P0002,,F0002,polarization,polarization,polarization/topology,polarization,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-polarization-1-cc728b524f54d7e9,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-polarization-1-2b1a837aa958cf82,P0002,,F0002,polarization,polarization,polarization/topology,optical vortex,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-polarization-1-2b1a837aa958cf82,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-polarization-1-b18072a6a8b32551,P0002,,F0002,polarization,polarization,polarization/topology,polarization,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-polarization-1-b18072a6a8b32551,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-polarization-1-12bbea18391a5d0f,P0002,,F0002,polarization,polarization,polarization/topology,optical vortex,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-polarization-1-12bbea18391a5d0f,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-polarization-1-9afeed502753fea3,P0002,,F0002,polarization,polarization,polarization/topology,polarization,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0002-polarization-1-9afeed502753fea3,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-band_structure-2-92c4173f68e7291e,P0002,,F0002,band,band_structure,band structure,band structure,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0002-band_structure-2-92c4173f68e7291e,regex:band_structure,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-band_structure-2-c1c4252d3b796d79,P0002,,F0002,band,band_structure,band structure,band structure,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0002-band_structure-2-c1c4252d3b796d79,regex:band_structure,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-spectrum-2-4b9749a8ae6b1e6c,P0002,,F0002,spectrum,spectrum,spectrum,transmittance,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0002-spectrum-2-4b9749a8ae6b1e6c,regex:spectrum,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-polarization-2-43e162fe78b87658,P0002,,F0002,polarization,polarization,polarization/topology,optical vortex,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0002-polarization-2-43e162fe78b87658,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-polarization-2-5ffcd6572e99eb3d,P0002,,F0002,polarization,polarization,polarization/topology,polarization,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0002-polarization-2-5ffcd6572e99eb3d,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-material-3-7e19e8e924fbbff1,P0002,,F0002,material,material,material,silicon,,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0002-material-3-7e19e8e924fbbff1,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-material-3-e80c4c08e414d916,P0002,,F0002,material,material,material,Si3N4,34.0,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0002-material-3-e80c4c08e414d916,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-material-3-ea7265fa1810c30b,P0002,,F0002,material,material,material,dielectric,,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0002-material-3-ea7265fa1810c30b,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-material-3-89760e2903071261,P0002,,F0002,material,material,material,Si3N4,34.0,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0002-material-3-89760e2903071261,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-material-3-909772514160e998,P0002,,F0002,material,material,material,silicon,,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0002-material-3-909772514160e998,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-band_structure-3-31bd1778bf5ae075,P0002,,F0002,band,band_structure,band structure,dispersion,,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0002-band_structure-3-31bd1778bf5ae075,regex:band_structure,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-band_structure-3-14f84d3f7f08c6c7,P0002,,F0002,band,band_structure,band structure,band structure,,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0002-band_structure-3-14f84d3f7f08c6c7,regex:band_structure,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-band_structure-3-f8ac6be3899a5743,P0002,,F0002,band,band_structure,band structure,band structure,,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0002-band_structure-3-f8ac6be3899a5743,regex:band_structure,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-spectrum-3-2a33b87ba105e4d0,P0002,,F0002,spectrum,spectrum,spectrum,transmittance,,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0002-spectrum-3-2a33b87ba105e4d0,regex:spectrum,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-spectrum-3-7cb22683f39cebbf,P0002,,F0002,spectrum,spectrum,spectrum,transmittance,,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0002-spectrum-3-7cb22683f39cebbf,regex:spectrum,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-band_structure-4-bc58ccb982b7a496,P0002,,F0002,band,band_structure,band structure,dispersion,,,,,,,,,local_pdf_text,,4,,,,E-OBS-P0002-band_structure-4-bc58ccb982b7a496,regex:band_structure,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-band_structure-4-47f13c68293df651,P0002,,F0002,band,band_structure,band structure,band structure,,,,,,,,,local_pdf_text,,4,,,,E-OBS-P0002-band_structure-4-47f13c68293df651,regex:band_structure,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-band_structure-4-977baf90b6342c5f,P0002,,F0002,band,band_structure,band structure,band structure,,,,,,,,,local_pdf_text,,4,,,,E-OBS-P0002-band_structure-4-977baf90b6342c5f,regex:band_structure,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-spectrum-4-0589e13251eb222a,P0002,,F0002,spectrum,spectrum,spectrum,transmittance,,,,,,,,,local_pdf_text,,4,,,,E-OBS-P0002-spectrum-4-0589e13251eb222a,regex:spectrum,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-spectrum-4-d53169efadf14656,P0002,,F0002,spectrum,spectrum,spectrum,transmittance,,,,,,,,,local_pdf_text,,4,,,,E-OBS-P0002-spectrum-4-d53169efadf14656,regex:spectrum,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-material-5-3c6e353dd3a65243,P0002,,F0002,material,material,material,dielectric,,,,,,,,,local_pdf_text,,5,,,,E-OBS-P0002-material-5-3c6e353dd3a65243,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-material-7-16c428c3883c1234,P0002,,F0002,material,material,material,silicon,,,,,,,,,local_pdf_text,,7,,,,E-OBS-P0002-material-7-16c428c3883c1234,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-material-7-879695088ff45107,P0002,,F0002,material,material,material,silicon,,,,,,,,,local_pdf_text,,7,,,,E-OBS-P0002-material-7-879695088ff45107,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0002-spectrum-7-ee23f4d30f3d3951,P0002,,F0002,spectrum,spectrum,spectrum,transmittance,,,,,,,,,local_pdf_text,,7,,,,E-OBS-P0002-spectrum-7-ee23f4d30f3d3951,regex:spectrum,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-material-1-796de39a70c7f6e3,P0003,,F0003,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0003-material-1-796de39a70c7f6e3,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-material-1-80906976f2e7d22b,P0003,,F0003,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0003-material-1-80906976f2e7d22b,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-material-1-873757e3bb4af5d1,P0003,,F0003,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0003-material-1-873757e3bb4af5d1,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-material-1-d001a2471c118af7,P0003,,F0003,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0003-material-1-d001a2471c118af7,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-material-1-3834f511efcacd90,P0003,,F0003,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0003-material-1-3834f511efcacd90,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-material-1-77cde07ce3b019d3,P0003,,F0003,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0003-material-1-77cde07ce3b019d3,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-material-1-648a9c40a18b1721,P0003,,F0003,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0003-material-1-648a9c40a18b1721,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-material-2-cee0b1aa7fae1a0d,P0003,,F0003,material,material,material,dielectric,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0003-material-2-cee0b1aa7fae1a0d,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-band_structure-2-2fb5f175f267f82a,P0003,,F0003,band,band_structure,band structure,leaky mode,,,,,,,,,local_pdf_text,,2,,,,E-OBS-P0003-band_structure-2-2fb5f175f267f82a,regex:band_structure,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-wavelength-3-5477f884d2093981,P0003,,F0003,resonance,wavelength,resonance wavelength,640,640.0,nm,,,640.0,,,,local_pdf_text,,3,,,,E-OBS-P0003-wavelength-3-5477f884d2093981,regex:wavelength,candidate_needs_review,review_queue,0.6,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-wavelength-3-5b06e5b67aab56ae,P0003,,F0003,resonance,wavelength,resonance wavelength,464,464.0,nm,,,464.0,,,,local_pdf_text,,3,,,,E-OBS-P0003-wavelength-3-5b06e5b67aab56ae,regex:wavelength,candidate_needs_review,review_queue,0.6,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-radius-3-9a4473dd3ceee201,P0003,,F0003,structure,radius,radius,100,100.0,nm,,,100.0,,,,local_pdf_text,,3,,,,E-OBS-P0003-radius-3-9a4473dd3ceee201,regex:radius,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-spectrum-3-b48a6abb2c5537b0,P0003,,F0003,spectrum,spectrum,spectrum,far field,,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0003-spectrum-3-b48a6abb2c5537b0,regex:spectrum,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-spectrum-3-12efc3345563e128,P0003,,F0003,spectrum,spectrum,spectrum,far-field,,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0003-spectrum-3-12efc3345563e128,regex:spectrum,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-spectrum-3-b65b55e288e31834,P0003,,F0003,spectrum,spectrum,spectrum,far-field,,,,,,,,,local_pdf_text,,3,,,,E-OBS-P0003-spectrum-3-b65b55e288e31834,regex:spectrum,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-band_structure-4-db8a7587011d2597,P0003,,F0003,band,band_structure,band structure,radiation continuum,,,,,,,,,local_pdf_text,,4,,,,E-OBS-P0003-band_structure-4-db8a7587011d2597,regex:band_structure,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-k_space-5-4a649162f064d473,P0003,,F0003,kspace,k_space,k-space / momentum-space,Brillouin zone,,,,,,,,,local_pdf_text,,5,,,,E-OBS-P0003-k_space-5-4a649162f064d473,regex:k_space,candidate_needs_review,review_queue,0.5,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-k_space-5-b33d75b4c2479c19,P0003,,F0003,kspace,k_space,k-space / momentum-space,Γ point,,,,,,,,,local_pdf_text,,5,,,,E-OBS-P0003-k_space-5-b33d75b4c2479c19,regex:k_space,candidate_needs_review,review_queue,0.5,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-band_structure-5-35bf6d61f5ce652a,P0003,,F0003,band,band_structure,band structure,leaky mode,,,,,,,,,local_pdf_text,,5,,,,E-OBS-P0003-band_structure-5-35bf6d61f5ce652a,regex:band_structure,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-band_structure-5-8325d28c8cd22df1,P0003,,F0003,band,band_structure,band structure,radiation continuum,,,,,,,,,local_pdf_text,,5,,,,E-OBS-P0003-band_structure-5-8325d28c8cd22df1,regex:band_structure,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-k_space-6-eaccfc6eecb8cd35,P0003,,F0003,kspace,k_space,k-space / momentum-space,Brillouin zone,,,,,,,,,local_pdf_text,,6,,,,E-OBS-P0003-k_space-6-eaccfc6eecb8cd35,regex:k_space,candidate_needs_review,review_queue,0.5,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-k_space-6-23a4f4ba91c13174,P0003,,F0003,kspace,k_space,k-space / momentum-space,momentum space,,,,,,,,,local_pdf_text,,6,,,,E-OBS-P0003-k_space-6-23a4f4ba91c13174,regex:k_space,candidate_needs_review,review_queue,0.5,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-spectrum-6-06abd6beb72448e5,P0003,,F0003,spectrum,spectrum,spectrum,far-field,,,,,,,,,local_pdf_text,,6,,,,E-OBS-P0003-spectrum-6-06abd6beb72448e5,regex:spectrum,candidate_needs_review,review_queue,0.48,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-polarization-6-20789c4d5e16e217,P0003,,F0003,polarization,polarization,polarization/topology,polarization,,,,,,,,,local_pdf_text,,6,,,,E-OBS-P0003-polarization-6-20789c4d5e16e217,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-polarization-6-8360d2ec3cbcce64,P0003,,F0003,polarization,polarization,polarization/topology,polarization,,,,,,,,,local_pdf_text,,6,,,,E-OBS-P0003-polarization-6-8360d2ec3cbcce64,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0003-polarization-6-54cf037acf5e57a6,P0003,,F0003,polarization,polarization,polarization/topology,polarization,,,,,,,,,local_pdf_text,,6,,,,E-OBS-P0003-polarization-6-54cf037acf5e57a6,regex:polarization,candidate_needs_review,review_queue,0.46,Candidate physical observation from PDF text; not yet human verified.
OBS-P0004-material-1-6db5f9eab51d2740,P0004,,F0004,material,material,material,Dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0004-material-1-6db5f9eab51d2740,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0004-material-1-1d90e30c8c465c24,P0004,,F0004,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0004-material-1-1d90e30c8c465c24,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0004-material-1-d18306b5c89153d2,P0004,,F0004,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0004-material-1-d18306b5c89153d2,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0004-material-1-4e6ebb3c5e0b0b4e,P0004,,F0004,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0004-material-1-4e6ebb3c5e0b0b4e,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0004-material-1-02d2669135f74d17,P0004,,F0004,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0004-material-1-02d2669135f74d17,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0004-material-1-d35b53f2d326c74d,P0004,,F0004,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0004-material-1-d35b53f2d326c74d,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
OBS-P0004-material-1-c427154039f13608,P0004,,F0004,material,material,material,dielectric,,,,,,,,,local_pdf_text,,1,,,,E-OBS-P0004-material-1-c427154039f13608,regex:material,candidate_needs_review,review_queue,0.42,Candidate physical observation from PDF text; not yet human verified.
