candidate_id,paper_id,candidate_field,candidate_value,evidence_id,method,verification_status,confidence,notes
C0029-01,P0029,suggested_bic_type,BIC laser / quasi-BIC laser,E0029-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0030-01,P0030,suggested_bic_type,topological / polarization-vortex BIC,E0030-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0030-02,P0030,suggested_bic_type,symmetry-protected BIC,E0030-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0030-03,P0030,suggested_bic_type,BIC laser / quasi-BIC laser,E0030-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0030-04,P0030,suggested_platform,photonic crystal slab,E0030-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0030-05,P0030,suggested_mechanism,topological charge / momentum-space vortex,E0030-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0031-01,P0031,suggested_bic_type,topological / polarization-vortex BIC,E0031-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0031-02,P0031,suggested_bic_type,symmetry-protected BIC,E0031-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0031-03,P0031,suggested_bic_type,quasi-BIC / Fano resonance,E0031-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0031-04,P0031,suggested_bic_type,BIC laser / quasi-BIC laser,E0031-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0031-05,P0031,suggested_platform,photonic crystal slab,E0031-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0031-06,P0031,suggested_platform,dielectric grating,E0031-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0031-07,P0031,suggested_mechanism,topological charge / momentum-space vortex,E0031-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0032-01,P0032,suggested_platform,dielectric grating,E0032-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0033-01,P0033,suggested_bic_type,BIC laser / quasi-BIC laser,E0033-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0033-02,P0033,suggested_platform,dielectric grating,E0033-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0035-01,P0035,suggested_bic_type,topological / polarization-vortex BIC,E0035-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0035-02,P0035,suggested_bic_type,symmetry-protected BIC,E0035-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0035-03,P0035,suggested_bic_type,BIC laser / quasi-BIC laser,E0035-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0035-04,P0035,suggested_platform,photonic crystal slab,E0035-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0036-01,P0036,suggested_bic_type,topological / polarization-vortex BIC,E0036-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0037-01,P0037,suggested_bic_type,BIC laser / quasi-BIC laser,E0037-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0037-02,P0037,suggested_platform,dielectric grating,E0037-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0038-01,P0038,suggested_bic_type,topological / polarization-vortex BIC,E0038-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0038-02,P0038,suggested_bic_type,BIC laser / quasi-BIC laser,E0038-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0038-03,P0038,suggested_platform,photonic crystal slab,E0038-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0038-04,P0038,suggested_mechanism,topological charge / momentum-space vortex,E0038-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0039-01,P0039,suggested_bic_type,topological / polarization-vortex BIC,E0039-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0039-02,P0039,suggested_bic_type,BIC laser / quasi-BIC laser,E0039-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0039-03,P0039,suggested_platform,metasurface,E0039-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0040-01,P0040,suggested_bic_type,quasi-BIC / Fano resonance,E0040-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0040-02,P0040,suggested_bic_type,BIC laser / quasi-BIC laser,E0040-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0040-03,P0040,suggested_platform,metasurface,E0040-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0041-01,P0041,suggested_bic_type,quasi-BIC / Fano resonance,E0041-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0041-02,P0041,suggested_bic_type,BIC laser / quasi-BIC laser,E0041-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0041-03,P0041,suggested_platform,photonic crystal slab,E0041-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0041-04,P0041,suggested_platform,dielectric grating,E0041-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0042-01,P0042,suggested_bic_type,topological / polarization-vortex BIC,E0042-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0042-02,P0042,suggested_bic_type,symmetry-protected BIC,E0042-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0042-03,P0042,suggested_bic_type,BIC laser / quasi-BIC laser,E0042-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0042-04,P0042,suggested_platform,photonic crystal slab,E0042-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0042-05,P0042,suggested_mechanism,topological charge / momentum-space vortex,E0042-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0043-01,P0043,suggested_bic_type,symmetry-protected BIC,E0043-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0043-02,P0043,suggested_bic_type,quasi-BIC / Fano resonance,E0043-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0043-03,P0043,suggested_bic_type,BIC laser / quasi-BIC laser,E0043-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0043-04,P0043,suggested_platform,photonic crystal slab,E0043-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0043-05,P0043,suggested_platform,dielectric grating,E0043-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0043-06,P0043,suggested_platform,waveguide array,E0043-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0044-01,P0044,suggested_bic_type,topological / polarization-vortex BIC,E0044-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0045-01,P0045,suggested_bic_type,topological / polarization-vortex BIC,E0045-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0045-02,P0045,suggested_mechanism,topological charge / momentum-space vortex,E0045-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0046-01,P0046,suggested_bic_type,BIC laser / quasi-BIC laser,E0046-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0047-01,P0047,suggested_bic_type,topological / polarization-vortex BIC,E0047-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0047-02,P0047,suggested_bic_type,BIC laser / quasi-BIC laser,E0047-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0047-03,P0047,suggested_mechanism,topological charge / momentum-space vortex,E0047-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0049-01,P0049,suggested_bic_type,symmetry-protected BIC,E0049-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0049-02,P0049,suggested_bic_type,quasi-BIC / Fano resonance,E0049-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0049-03,P0049,suggested_platform,dielectric grating,E0049-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0050-01,P0050,suggested_bic_type,quasi-BIC / Fano resonance,E0050-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.5,Not a verified fact. Promote only after page/figure/text review.
C0050-02,P0050,suggested_bic_type,BIC laser / quasi-BIC laser,E0050-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0050-03,P0050,suggested_platform,photonic crystal slab,E0050-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.55,Not a verified fact. Promote only after page/figure/text review.
C0050-04,P0050,suggested_platform,dielectric grating,E0050-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
C0050-05,P0050,suggested_platform,waveguide array,E0050-TEXT,keyword_candidate_from_file_and_first_pages,candidate_needs_human_review,0.45,Not a verified fact. Promote only after page/figure/text review.
